topic_slug	topic_title	category	content_type	left_text	right_text	note	order_index	mastery
square	Square	Basics	VALUE_TABLE	1²	1	Square recall value	1	21
square	Square	Basics	VALUE_TABLE	2²	4	Square recall value	2	22
square	Square	Basics	VALUE_TABLE	3²	9	Square recall value	3	23
square	Square	Basics	VALUE_TABLE	4²	16	Square recall value	4	24
square	Square	Basics	VALUE_TABLE	5²	25	Square recall value	5	25
square	Square	Basics	VALUE_TABLE	6²	36	Square recall value	6	26
square	Square	Basics	VALUE_TABLE	7²	49	Square recall value	7	27
square	Square	Basics	VALUE_TABLE	8²	64	Square recall value	8	28
square	Square	Basics	VALUE_TABLE	9²	81	Square recall value	9	29
square	Square	Basics	VALUE_TABLE	10²	100	Square recall value	10	30
square	Square	Basics	VALUE_TABLE	11²	121	Square recall value	11	31
square	Square	Basics	VALUE_TABLE	12²	144	Square recall value	12	32
square	Square	Basics	VALUE_TABLE	13²	169	Square recall value	13	33
square	Square	Basics	VALUE_TABLE	14²	196	Square recall value	14	34
square	Square	Basics	VALUE_TABLE	15²	225	Square recall value	15	35
square	Square	Basics	VALUE_TABLE	16²	256	Square recall value	16	36
square	Square	Basics	VALUE_TABLE	17²	289	Square recall value	17	37
square	Square	Basics	VALUE_TABLE	18²	324	Square recall value	18	38
square	Square	Basics	VALUE_TABLE	19²	361	Square recall value	19	39
square	Square	Basics	VALUE_TABLE	20²	400	Square recall value	20	40
square	Square	Basics	VALUE_TABLE	21²	441	Square recall value	21	41
square	Square	Basics	VALUE_TABLE	22²	484	Square recall value	22	42
square	Square	Basics	VALUE_TABLE	23²	529	Square recall value	23	43
square	Square	Basics	VALUE_TABLE	24²	576	Square recall value	24	44
square	Square	Basics	VALUE_TABLE	25²	625	Square recall value	25	45
square	Square	Basics	VALUE_TABLE	26²	676	Square recall value	26	46
square	Square	Basics	VALUE_TABLE	27²	729	Square recall value	27	47
square	Square	Basics	VALUE_TABLE	28²	784	Square recall value	28	48
square	Square	Basics	VALUE_TABLE	29²	841	Square recall value	29	49
square	Square	Basics	VALUE_TABLE	30²	900	Square recall value	30	50
square	Square	Basics	VALUE_TABLE	31²	961	Square recall value	31	51
square	Square	Basics	VALUE_TABLE	32²	1024	Square recall value	32	52
square	Square	Basics	VALUE_TABLE	33²	1089	Square recall value	33	53
square	Square	Basics	VALUE_TABLE	34²	1156	Square recall value	34	54
square	Square	Basics	VALUE_TABLE	35²	1225	Square recall value	35	55
square	Square	Basics	VALUE_TABLE	36²	1296	Square recall value	36	56
square	Square	Basics	VALUE_TABLE	37²	1369	Square recall value	37	57
square	Square	Basics	VALUE_TABLE	38²	1444	Square recall value	38	58
square	Square	Basics	VALUE_TABLE	39²	1521	Square recall value	39	59
square	Square	Basics	VALUE_TABLE	40²	1600	Square recall value	40	60
square	Square	Basics	VALUE_TABLE	41²	1681	Square recall value	41	61
square	Square	Basics	VALUE_TABLE	42²	1764	Square recall value	42	62
square	Square	Basics	VALUE_TABLE	43²	1849	Square recall value	43	63
square	Square	Basics	VALUE_TABLE	44²	1936	Square recall value	44	64
square	Square	Basics	VALUE_TABLE	45²	2025	Square recall value	45	65
square	Square	Basics	VALUE_TABLE	46²	2116	Square recall value	46	66
square	Square	Basics	VALUE_TABLE	47²	2209	Square recall value	47	67
square	Square	Basics	VALUE_TABLE	48²	2304	Square recall value	48	68
square	Square	Basics	VALUE_TABLE	49²	2401	Square recall value	49	69
square	Square	Basics	VALUE_TABLE	50²	2500	Square recall value	50	70
square	Square	Basics	VALUE_TABLE	51²	2601	Square recall value	51	71
square	Square	Basics	VALUE_TABLE	52²	2704	Square recall value	52	72
square	Square	Basics	VALUE_TABLE	53²	2809	Square recall value	53	73
square	Square	Basics	VALUE_TABLE	54²	2916	Square recall value	54	74
square	Square	Basics	VALUE_TABLE	55²	3025	Square recall value	55	75
square	Square	Basics	VALUE_TABLE	56²	3136	Square recall value	56	76
square	Square	Basics	VALUE_TABLE	57²	3249	Square recall value	57	77
square	Square	Basics	VALUE_TABLE	58²	3364	Square recall value	58	78
square	Square	Basics	VALUE_TABLE	59²	3481	Square recall value	59	79
square	Square	Basics	VALUE_TABLE	60²	3600	Square recall value	60	80
square	Square	Basics	VALUE_TABLE	61²	3721	Square recall value	61	81
square	Square	Basics	VALUE_TABLE	62²	3844	Square recall value	62	82
square	Square	Basics	VALUE_TABLE	63²	3969	Square recall value	63	83
square	Square	Basics	VALUE_TABLE	64²	4096	Square recall value	64	84
square	Square	Basics	VALUE_TABLE	65²	4225	Square recall value	65	85
square	Square	Basics	VALUE_TABLE	66²	4356	Square recall value	66	86
square	Square	Basics	VALUE_TABLE	67²	4489	Square recall value	67	87
square	Square	Basics	VALUE_TABLE	68²	4624	Square recall value	68	88
square	Square	Basics	VALUE_TABLE	69²	4761	Square recall value	69	89
square	Square	Basics	VALUE_TABLE	70²	4900	Square recall value	70	90
square	Square	Basics	VALUE_TABLE	71²	5041	Square recall value	71	91
square	Square	Basics	VALUE_TABLE	72²	5184	Square recall value	72	92
square	Square	Basics	VALUE_TABLE	73²	5329	Square recall value	73	93
square	Square	Basics	VALUE_TABLE	74²	5476	Square recall value	74	94
square	Square	Basics	VALUE_TABLE	75²	5625	Square recall value	75	95
square	Square	Basics	VALUE_TABLE	76²	5776	Square recall value	76	96
square	Square	Basics	VALUE_TABLE	77²	5929	Square recall value	77	97
square	Square	Basics	VALUE_TABLE	78²	6084	Square recall value	78	98
square	Square	Basics	VALUE_TABLE	79²	6241	Square recall value	79	99
square	Square	Basics	VALUE_TABLE	80²	6400	Square recall value	80	100
square	Square	Basics	VALUE_TABLE	81²	6561	Square recall value	81	100
square	Square	Basics	VALUE_TABLE	82²	6724	Square recall value	82	100
square	Square	Basics	VALUE_TABLE	83²	6889	Square recall value	83	100
square	Square	Basics	VALUE_TABLE	84²	7056	Square recall value	84	100
square	Square	Basics	VALUE_TABLE	85²	7225	Square recall value	85	100
square	Square	Basics	VALUE_TABLE	86²	7396	Square recall value	86	100
square	Square	Basics	VALUE_TABLE	87²	7569	Square recall value	87	100
square	Square	Basics	VALUE_TABLE	88²	7744	Square recall value	88	100
square	Square	Basics	VALUE_TABLE	89²	7921	Square recall value	89	100
